Code,Area,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E02000001,City of London 001,146043.21 ,148412.97 ,139566.28 ,131873.24 ,136344.00 ,142327.98 ,148007.45 ,149608.09 ,156417.90 ,213793.94 ,213567.74 ,217317.29 ,227376.80 ,234913.17 ,235522.90 ,236697.02 ,232854.02 ,206771.40 ,214422.79 ,226076.20 ,255964.31 ,268056.84 ,295788.86 ,285684.58 ,266276.75 ,255966.73 ,244239.06 ,261105.25 ,270879.49 ,297951.49 ,313641.41 ,319897.71 ,322733.33 ,302353.63 ,296581.76 ,300292.97 ,292695.76 ,317368.21 ,321728.64 ,323202.96 ,329696.85 ,333271.04 ,336927.99 ,356219.62 ,374654.25 ,402895.44 ,430008.61 ,473260.88 ,490706.16 ,488829.98 ,473843.91 ,430784.86 ,412940.28 ,394769.58 ,421877.19 ,427827.21 ,449610.59 ,468527.63 ,492035.52 ,518363.18 ,524581.06 ,551927.55 ,559837.08 ,538395.68 ,541191.58 ,519473.22 ,506388.02 ,534541.36 ,537159.79 ,576071.25 ,641039.53 ,712847.79 ,775504.38 ,800763.83 ,810172.07 ,878767.53 ,894045.85 ,902589.84 ,931763.84 ,929347.41 ,926291.59 ,935604.35 ,917834.30 ,895824.64 ,928036.73 ,929037.20 ,953512.38 ,961782.86 ,950759.70 
E02000002,Barking and Dagenham 001,57357.60 ,54287.08 ,52876.57 ,56340.79 ,55091.36 ,57354.07 ,58971.05 ,68869.91 ,73658.30 ,73688.71 ,82749.14 ,75603.77 ,76752.50 ,75139.58 ,71218.31 ,71978.42 ,73912.46 ,77776.81 ,78994.43 ,82176.27 ,87585.57 ,88140.00 ,91530.69 ,94383.51 ,97917.47 ,102676.65 ,106912.14 ,117407.16 ,123475.52 ,131002.33 ,142931.01 ,147762.80 ,158122.88 ,161413.33 ,161574.60 ,168629.68 ,167092.99 ,170310.61 ,172872.16 ,174816.01 ,174659.44 ,174522.53 ,172988.30 ,174830.91 ,182566.72 ,187925.45 ,192474.48 ,190755.48 ,190956.78 ,188055.22 ,190850.35 ,195835.90 ,192702.91 ,196977.18 ,187129.35 ,179380.83 ,179088.67 ,172081.33 ,176366.33 ,178770.16 ,179266.42 ,181913.62 ,188179.15 ,192445.45 ,191617.65 ,186722.73 ,189207.45 ,189313.72 ,189743.93 ,200858.72 ,191733.83 ,191045.69 ,189935.98 ,190104.39 ,196007.66 ,207147.96 ,218348.04 ,227383.00 ,233784.49 ,237843.90 ,248571.50 ,267574.58 ,270963.93 ,274400.79 ,283700.82 ,275289.34 ,291802.68 ,300302.46 ,296690.83 
E02000003,Barking and Dagenham 002,57194.42 ,57350.05 ,57594.91 ,57636.72 ,58937.30 ,58843.43 ,58866.55 ,59570.54 ,61070.63 ,62749.96 ,64353.96 ,66538.51 ,70712.45 ,73927.35 ,72935.82 ,75798.88 ,76788.14 ,78359.87 ,84452.67 ,87589.86 ,91504.78 ,96840.45 ,101654.48 ,105408.12 ,108848.06 ,110465.32 ,114620.06 ,124354.64 ,133789.62 ,139769.32 ,148464.22 ,153107.12 ,160972.12 ,161167.73 ,170543.06 ,173981.51 ,176463.64 ,179352.93 ,177887.37 ,179578.39 ,179238.51 ,185065.79 ,186730.11 ,190997.06 ,194326.41 ,200419.62 ,204886.52 ,209494.04 ,214320.79 ,216179.00 ,220252.77 ,220428.11 ,213850.10 ,200455.08 ,181853.03 ,178186.77 ,179279.57 ,185737.31 ,193030.05 ,196454.41 ,203742.22 ,197550.77 ,195100.90 ,197662.67 ,193483.46 ,194143.59 ,193856.90 ,191799.50 ,195933.72 ,200873.11 ,200619.34 ,201252.97 ,206911.62 ,214216.32 ,218997.56 ,227547.06 ,233598.97 ,235750.42 ,240044.36 ,250224.22 ,263404.97 ,272489.45 ,281288.75 ,281917.51 ,286872.47 ,310170.81 ,311167.23 ,323874.44 ,320546.39 
E02000004,Barking and Dagenham 003,60193.65 ,61085.80 ,61944.21 ,62554.40 ,64162.84 ,64219.15 ,68167.11 ,70229.18 ,72660.53 ,76655.85 ,81189.74 ,82693.10 ,86880.02 ,88090.92 ,87295.19 ,93059.92 ,93817.89 ,98187.43 ,104613.77 ,106859.59 ,112676.63 ,111259.39 ,110303.49 ,111884.23 ,111690.04 ,116323.88 ,122365.75 ,129344.02 ,135877.24 ,143656.24 ,151940.00 ,156120.69 ,159679.18 ,161632.80 ,165779.65 ,172143.24 ,178236.95 ,187943.75 ,188940.72 ,187754.39 ,189698.21 ,185271.50 ,187024.22 ,186079.32 ,189592.20 ,192607.42 ,195642.88 ,209190.33 ,209859.85 ,214447.10 ,217209.75 ,208827.01 ,209606.21 ,208107.19 ,198202.12 ,192685.37 ,186493.50 ,186040.57 ,191044.83 ,192305.00 ,193024.51 ,194915.35 ,195149.18 ,197835.86 ,195784.51 ,195499.86 ,192369.42 ,194155.57 ,204149.92 ,202874.91 ,209084.02 ,208399.18 ,206944.14 ,210075.43 ,216440.94 ,229430.59 ,239080.17 ,249461.24 ,255773.00 ,260470.74 ,274325.74 ,298718.18 ,315466.80 ,332126.84 ,335301.08 ,339568.97 ,330511.49 ,332531.25 ,333292.21 
E02000005,Barking and Dagenham 004,51038.28 ,49689.39 ,49098.90 ,49031.84 ,48867.40 ,50356.78 ,51158.52 ,54302.99 ,55832.61 ,56748.23 ,58798.31 ,60045.44 ,62340.69 ,64853.48 ,64690.91 ,67482.20 ,69022.44 ,70003.24 ,75240.78 ,77758.67 ,81764.10 ,84051.33 ,85765.43 ,88565.59 ,92031.38 ,95685.33 ,100071.37 ,106721.68 ,118029.11 ,126318.43 ,133425.58 ,140617.35 ,145229.20 ,149427.52 ,154360.38 ,161290.00 ,166255.40 ,167425.11 ,167398.26 ,164528.54 ,164750.40 ,165222.76 ,167210.56 ,169466.80 ,171638.88 ,175088.18 ,175934.76 ,181365.84 ,186846.24 ,190181.95 ,196813.98 ,197900.59 ,197506.51 ,194326.83 ,181516.35 ,172098.84 ,166084.18 ,164209.07 ,166685.29 ,166635.94 ,171692.79 ,172123.90 ,172309.47 ,172426.72 ,168655.79 ,170404.08 ,165202.41 ,163269.08 ,165629.92 ,167298.19 ,175210.54 ,178550.47 ,183048.60 ,186487.38 ,190706.69 ,202439.41 ,222850.87 ,224673.26 ,236693.79 ,250113.93 ,256391.98 ,262319.07 ,287396.18 ,300499.87 ,315574.46 ,324117.42 ,327887.72 ,325794.84 ,323039.02 
E02000007,Barking and Dagenham 006,48074.50 ,48745.25 ,48058.64 ,48117.88 ,49526.69 ,51057.85 ,50122.03 ,50322.93 ,51659.12 ,52653.90 ,55472.57 ,58651.20 ,60511.17 ,61769.69 ,62037.62 ,61976.29 ,63024.87 ,63366.46 ,65614.29 ,69782.63 ,72472.84 ,77589.60 ,82097.37 ,84536.72 ,88778.57 ,92438.69 ,98774.48 ,105286.85 ,111647.57 ,117632.76 ,127822.23 ,135262.86 ,140418.87 ,144408.47 ,150151.99 ,156527.94 ,163240.08 ,166834.88 ,166197.36 ,164348.87 ,164471.02 ,163289.86 ,162810.25 ,163691.25 ,162057.04 ,164676.39 ,169907.36 ,177421.88 ,185583.67 ,188955.61 ,191578.30 ,194784.42 ,193010.26 ,185500.00 ,167719.80 ,151071.07 ,150924.63 ,151901.74 ,158946.12 ,171217.57 ,180312.50 ,181069.68 ,174459.31 ,168104.57 ,162814.39 ,157763.09 ,163578.57 ,162297.92 ,162665.90 ,164352.96 ,163228.80 ,167964.74 ,169974.49 ,176593.59 ,185067.09 ,193451.11 ,199659.75 ,209682.53 ,217455.24 ,235103.93 ,248513.13 ,254377.71 ,268582.42 ,266438.66 ,274578.71 ,285170.00 ,281894.25 ,286960.19 ,295579.03 
E02000008,Barking and Dagenham 007,46576.21 ,45535.25 ,47147.61 ,46875.00 ,46992.50 ,48104.72 ,48552.49 ,49525.49 ,51619.43 ,52715.63 ,54156.83 ,54640.61 ,55535.77 ,56782.67 ,58202.43 ,59905.02 ,62747.06 ,65556.56 ,67935.73 ,71577.18 ,74302.75 ,75897.36 ,79677.87 ,82316.52 ,85608.10 ,90667.84 ,95951.70 ,103026.74 ,111763.58 ,118164.76 ,126971.63 ,133976.19 ,138218.11 ,141892.30 ,146782.65 ,152828.83 ,155864.12 ,158784.40 ,160780.81 ,162712.28 ,166908.66 ,169270.75 ,174081.62 ,174781.27 ,173191.42 ,172351.13 ,171445.54 ,175778.95 ,180872.41 ,185207.11 ,187412.32 ,187489.44 ,185039.69 ,178712.88 ,164294.27 ,157322.50 ,154149.17 ,154722.12 ,153397.44 ,157263.82 ,156359.80 ,158722.08 ,160576.36 ,160488.59 ,164706.45 ,163267.29 ,167791.53 ,165342.22 ,163000.62 ,163982.82 ,163885.60 ,168666.43 ,173953.04 ,178892.01 ,188180.26 ,195705.80 ,206258.78 ,216375.07 ,217890.65 ,228690.39 ,238633.74 ,253487.37 ,268826.64 ,271705.42 ,279552.97 ,278247.28 ,279976.31 ,285565.95 ,286440.87 
E02000009,Barking and Dagenham 008,47274.78 ,48424.09 ,48714.57 ,50344.53 ,52155.70 ,55222.32 ,56552.26 ,56389.35 ,56384.31 ,54288.92 ,54585.43 ,55282.41 ,56899.01 ,59952.92 ,60351.45 ,62516.80 ,64321.69 ,67232.66 ,70798.92 ,72966.10 ,74528.78 ,75735.67 ,77372.01 ,80903.56 ,85967.84 ,87946.43 ,94385.59 ,102700.78 ,111318.08 ,119483.68 ,128495.26 ,135103.54 ,140221.69 ,144652.33 ,147455.25 ,154022.32 ,157366.94 ,159404.46 ,161862.97 ,160551.65 ,159151.95 ,160319.32 ,162174.46 ,164945.89 ,167849.23 ,170043.52 ,173479.77 ,179776.66 ,186784.42 ,189981.20 ,193163.70 ,192906.26 ,201320.47 ,202951.45 ,200595.24 ,187536.96 ,158702.93 ,161751.51 ,170625.82 ,177062.45 ,188275.36 ,185046.65 ,182281.87 ,179956.52 ,182364.69 ,190208.38 ,187574.72 ,186872.64 ,177838.74 ,172216.28 ,176664.24 ,186046.15 ,181734.30 ,183505.62 ,188908.85 ,190068.22 ,202170.27 ,209506.95 ,214131.55 ,220660.93 ,242374.36 ,247849.97 ,262571.35 ,266391.10 ,275036.19 ,291477.92 ,289518.93 ,289998.29 ,285980.90 
E02000010,Barking and Dagenham 009,46237.80 ,46900.91 ,46290.26 ,47813.21 ,47760.52 ,47557.76 ,48899.49 ,50661.39 ,52077.45 ,53048.20 ,54002.48 ,55189.18 ,57130.31 ,57578.48 ,58859.43 ,59758.19 ,62754.90 ,64178.78 ,68335.54 ,71899.30 ,75959.54 ,80313.28 ,84255.25 ,86477.14 ,89830.42 ,93084.43 ,96259.44 ,104565.79 ,109618.03 ,118736.47 ,127653.80 ,135243.67 ,141029.88 ,143900.03 ,148964.16 ,152453.35 ,155066.22 ,157132.68 ,159367.36 ,161271.66 ,160802.11 ,160115.80 ,158159.16 ,159122.50 ,161677.34 ,164415.19 ,170601.30 ,179705.38 ,184559.48 ,188823.25 ,191096.33 ,191907.24 ,191824.68 ,182666.67 ,169261.63 ,155971.28 ,150883.81 ,151541.98 ,153184.14 ,156419.11 ,158951.58 ,158608.30 ,160567.18 ,158861.02 ,159172.61 ,158448.14 ,157964.74 ,159063.41 ,161180.25 ,164597.94 ,167452.74 ,170235.58 ,172866.38 ,182496.03 ,191175.70 ,201761.75 ,210533.18 ,215085.15 ,220256.34 ,222869.07 ,222992.05 ,236972.72 ,249149.30 ,265102.01 ,280849.76 ,282668.26 ,279680.32 ,286726.69 ,289336.90 
E02000011,Barking and Dagenham 010,47866.32 ,47697.60 ,49841.29 ,55650.00 ,52171.75 ,52934.20 ,55200.33 ,54855.28 ,56519.82 ,57574.10 ,59717.74 ,59205.41 ,59618.94 ,60222.18 ,59683.78 ,62199.50 ,65252.47 ,67107.41 ,70244.53 ,75945.22 ,80863.43 ,83229.64 ,87436.93 ,87050.25 ,90498.74 ,93964.45 ,100570.56 ,111049.35 ,117297.68 ,124651.13 ,131002.87 ,137954.04 ,143495.62 ,150048.86 ,157683.72 ,161970.90 ,168060.66 ,173012.01 ,171990.95 ,172053.79 ,171093.68 ,174076.68 ,173962.99 ,174148.53 ,175877.85 ,177328.79 ,183551.41 ,193112.23 ,198599.48 ,204610.70 ,205539.57 ,204623.37 ,204373.03 ,197389.90 ,188134.15 ,170267.21 ,169919.80 ,172344.92 ,180249.60 ,180695.58 ,180753.79 ,178768.17 ,175989.00 ,182885.85 ,179885.85 ,180625.41 ,177139.98 ,175042.09 ,175087.98 ,176531.25 ,185205.88 ,193339.53 ,197398.36 ,205039.21 ,212868.69 ,214815.80 ,220542.38 ,225908.40 ,225498.84 ,239207.78 ,246830.19 ,255570.93 ,271417.74 ,283830.81 ,292134.55 ,300592.11 ,301562.50 ,303182.43 ,308080.88 
E02000012,Barking and Dagenham 011,75507.93 ,74564.57 ,79674.04 ,78910.90 ,79925.14 ,82002.81 ,82596.19 ,89841.19 ,91238.91 ,93912.38 ,96295.16 ,96966.00 ,97560.94 ,97648.19 ,101465.98 ,100899.94 ,103517.85 ,106206.24 ,116986.41 ,121859.05 ,123422.59 ,122147.05 ,121357.15 ,126169.46 ,132864.47 ,138206.04 ,149020.50 ,163872.21 ,171831.46 ,186590.38 ,194551.81 ,201023.98 ,211681.88 ,212958.00 ,215473.48 ,220596.93 ,225845.99 ,227167.21 ,230558.82 ,230914.82 ,228959.11 ,231155.71 ,235084.60 ,239476.06 ,241655.95 ,249975.54 ,254983.10 ,265964.25 ,274154.25 ,277133.98 ,277706.22 ,272127.11 ,267733.60 ,259835.26 ,250913.06 ,251113.93 ,259073.19 ,257532.85 ,263296.90 ,265248.84 ,259361.77 ,260119.67 ,251768.11 ,258721.16 ,256402.66 ,253793.45 ,258014.60 ,257287.75 ,262510.30 ,263207.76 ,263349.99 ,258340.60 ,264913.62 ,276857.72 ,289633.46 ,296782.22 ,302852.05 ,307941.79 ,314969.24 ,327210.00 ,347243.44 ,355527.73 ,375163.66 ,394044.07 ,400800.16 ,422077.89 ,419832.76 ,415314.14 ,407529.35 
E02000013,Barking and Dagenham 012,50538.28 ,50290.36 ,46999.60 ,47122.62 ,46853.89 ,46678.67 ,48766.63 ,50778.50 ,52222.38 ,54561.71 ,55061.16 ,56174.26 ,56617.83 ,59458.10 ,61359.69 ,62664.57 ,66988.39 ,67308.84 ,69466.54 ,73908.79 ,75208.01 ,76967.99 ,80390.21 ,85136.91 ,88429.48 ,92032.70 ,96586.82 ,100625.66 ,109494.13 ,117559.69 ,124155.58 ,134512.47 ,139708.06 ,144869.60 ,148123.57 ,152968.99 ,154354.46 ,158666.94 ,165973.50 ,166282.11 ,167154.36 ,164221.18 ,162042.02 ,161999.64 ,163537.29 ,167563.21 ,173407.80 ,182501.31 ,186134.52 ,192198.41 ,193288.46 ,190884.57 ,196940.56 ,189588.24 ,180672.95 ,164911.27 ,151855.29 ,155307.18 ,158888.52 ,169595.50 ,177085.82 ,178013.39 ,176475.96 ,174315.22 ,162474.36 ,169839.53 ,174528.75 ,174959.08 ,177922.33 ,174663.46 ,175059.44 ,175185.74 ,179013.09 ,189857.08 ,195996.58 ,208155.80 ,220075.27 ,219318.69 ,229381.13 ,235653.25 ,239111.69 ,252373.41 ,250881.27 ,269279.49 ,283620.78 ,294430.67 ,306075.34 ,303246.88 ,305404.92 
E02000014,Barking and Dagenham 013,43774.76 ,42163.18 ,42143.83 ,42266.37 ,43955.87 ,44577.08 ,46808.04 ,48706.98 ,49859.85 ,51543.19 ,51852.35 ,53336.43 ,56958.53 ,57934.29 ,58923.71 ,60352.55 ,59547.17 ,62133.22 ,65877.14 ,69816.71 ,73768.93 ,76013.22 ,78583.32 ,83497.76 ,87731.02 ,91334.55 ,96260.71 ,104175.68 ,110290.32 ,117981.04 ,126906.01 ,132801.56 ,138310.24 ,144245.63 ,147287.32 ,152369.68 ,156556.94 ,157109.27 ,161992.71 ,163083.90 ,161820.08 ,161957.81 ,161593.53 ,161201.99 ,163559.53 ,166012.36 ,170914.12 ,175713.61 ,182161.40 ,188707.68 ,189909.93 ,192799.71 ,191341.97 ,184669.80 ,171999.83 ,165399.86 ,159162.96 ,157525.60 ,159845.92 ,160983.00 ,159901.70 ,159515.29 ,156631.15 ,156163.25 ,159415.31 ,159349.23 ,162679.59 ,164322.65 ,166373.60 ,171172.57 ,171986.11 ,173497.56 ,174862.81 ,180697.94 ,182313.40 ,195068.66 ,207631.08 ,215694.05 ,221889.85 ,228590.64 ,238411.86 ,251582.81 ,266300.49 ,284523.58 ,294073.68 ,294853.53 ,291913.06 ,288229.79 ,280544.87 
E02000015,Barking and Dagenham 014,42409.26 ,42597.85 ,42395.58 ,43281.61 ,42697.28 ,41910.00 ,41445.86 ,42288.46 ,43037.15 ,45030.16 ,52333.25 ,55837.54 ,60154.75 ,61255.74 ,61366.53 ,61703.74 ,57618.43 ,57927.52 ,58775.68 ,62025.05 ,62318.68 ,62449.45 ,64833.09 ,67505.00 ,74340.03 ,78984.20 ,83197.55 ,90440.94 ,92691.81 ,100242.91 ,109035.20 ,112618.02 ,121156.29 ,124620.64 ,127877.39 ,134498.99 ,141660.86 ,143936.53 ,144566.53 ,147618.89 ,147539.43 ,148192.49 ,150938.07 ,148573.99 ,150678.89 ,151183.86 ,150690.20 ,155236.07 ,155046.97 ,161061.97 ,169488.40 ,173391.49 ,175241.69 ,175756.62 ,167349.75 ,149427.08 ,137238.64 ,139691.67 ,138952.70 ,135937.47 ,143448.24 ,139959.96 ,147526.26 ,150847.92 ,146469.39 ,146220.91 ,143763.85 ,140061.28 ,137835.94 ,145761.25 ,145268.92 ,148448.86 ,153466.35 ,155370.52 ,162270.47 ,168999.76 ,182340.06 ,193084.30 ,200746.00 ,202943.59 ,203486.78 ,211161.06 ,216664.27 ,229229.62 ,242214.04 ,249223.07 ,268356.29 ,271661.84 ,262507.66 
E02000016,Barking and Dagenham 015,48926.16 ,47543.28 ,45097.44 ,45521.48 ,42961.37 ,42193.60 ,39575.57 ,39785.91 ,46656.77 ,48957.41 ,53436.11 ,58390.04 ,58542.72 ,58492.51 ,56289.65 ,53641.98 ,51858.13 ,53813.44 ,59835.36 ,66243.63 ,73143.60 ,76206.75 ,78725.40 ,77686.55 ,76928.16 ,79902.46 ,83028.57 ,90273.10 ,95481.01 ,105424.45 ,118601.08 ,129307.80 ,131527.74 ,134278.48 ,138937.51 ,143138.80 ,149205.24 ,151998.84 ,152810.25 ,150774.46 ,149873.60 ,148249.95 ,148851.84 ,154715.19 ,163507.24 ,164003.52 ,170286.88 ,169776.00 ,174503.17 ,176256.90 ,177787.92 ,181161.01 ,172900.64 ,173182.76 ,173582.26 ,160632.32 ,149689.74 ,146744.10 ,144026.96 ,148597.78 ,149814.69 ,154104.75 ,161214.42 ,160259.75 ,160005.59 ,153180.74 ,144476.61 ,143673.70 ,139930.86 ,149349.83 ,157378.24 ,162810.54 ,163591.53 ,162433.17 ,163912.54 ,166941.60 ,175454.95 ,183831.68 ,183758.32 ,188188.37 ,191121.22 ,194960.99 ,202522.06 ,208973.12 ,223817.20 ,222276.76 ,225298.97 ,227507.59 ,226535.94 
E02000017,Barking and Dagenham 016,54726.20 ,53343.47 ,54361.21 ,57672.74 ,59463.74 ,58529.02 ,55382.12 ,53588.12 ,54015.00 ,56460.55 ,59423.17 ,66337.97 ,72286.85 ,73382.79 ,74778.82 ,76901.32 ,77593.27 ,79947.33 ,81567.17 ,83525.99 ,87863.56 ,92525.11 ,96872.90 ,102598.97 ,106541.29 ,110101.58 ,116704.40 ,127181.14 ,133733.07 ,140569.25 ,151242.59 ,157761.14 ,162794.97 ,168798.89 ,170312.73 ,175384.18 ,179741.76 ,183125.96 ,186453.93 ,193199.35 ,193004.41 ,194034.96 ,196344.78 ,195536.62 ,199456.14 ,201532.21 ,206721.58 ,211419.77 ,216974.48 ,219807.74 ,218645.21 ,217686.13 ,209735.60 ,205806.25 ,203961.15 ,201742.86 ,208675.53 ,205618.00 ,210976.41 ,210927.32 ,212780.98 ,220710.69 ,218536.35 ,228535.00 ,222300.78 ,211109.45 ,209320.17 ,201304.13 ,202555.72 ,206577.46 ,208444.21 ,204587.78 ,207296.69 ,218466.45 ,227058.13 ,242102.40 ,240790.12 ,234604.94 ,233516.43 ,243499.95 ,257681.32 ,277486.44 ,298882.00 ,306446.67 ,325634.71 ,335145.38 ,328430.43 ,343518.75 ,348508.93 
E02000018,Barking and Dagenham 017,45183.58 ,44266.65 ,45108.57 ,44390.47 ,45622.13 ,46819.47 ,47352.63 ,48493.53 ,49115.00 ,49139.82 ,50844.71 ,53418.46 ,55085.34 ,56651.98 ,57543.60 ,56626.67 ,60210.92 ,70604.48 ,75881.68 ,78329.75 ,82464.35 ,81461.71 ,81343.83 ,83845.27 ,85934.02 ,89329.84 ,94857.42 ,101787.61 ,112559.13 ,121447.51 ,128576.11 ,132412.71 ,136459.18 ,140165.32 ,144037.22 ,151060.19 ,154452.32 ,156872.38 ,158267.98 ,159544.86 ,160887.64 ,160468.37 ,161708.67 ,163357.90 ,163856.83 ,166762.22 ,169136.91 ,174811.23 ,181274.74 ,188758.48 ,190103.60 ,190305.20 ,190591.31 ,178187.68 ,167886.71 ,154825.00 ,152979.49 ,155699.86 ,160415.34 ,165945.95 ,169862.73 ,168758.15 ,167903.75 ,161812.50 ,157125.00 ,153969.39 ,154125.00 ,156396.94 ,160769.39 ,163070.89 ,162848.64 ,168779.82 ,170831.03 ,177256.92 ,182616.08 ,198528.45 ,206049.19 ,215374.89 ,223717.47 ,224743.29 ,238961.90 ,244517.95 ,251341.71 ,271999.68 ,298464.23 ,321656.85 ,338138.69 ,327202.89 ,313259.08 
E02000019,Barking and Dagenham 018,50504.44 ,52454.08 ,54427.67 ,54757.90 ,52656.16 ,52551.52 ,55020.08 ,58118.75 ,59686.35 ,61230.12 ,62691.84 ,65008.80 ,66604.31 ,67036.25 ,67922.20 ,69410.85 ,70408.21 ,71062.64 ,73767.97 ,75627.81 ,77915.12 ,80210.74 ,82437.85 ,85429.87 ,88352.58 ,91345.82 ,96423.58 ,105394.21 ,113203.46 ,121452.77 ,129470.71 ,135155.15 ,137795.40 ,138270.02 ,141639.72 ,145823.85 ,150977.57 ,158300.59 ,160341.38 ,161348.45 ,160124.71 ,159171.80 ,159670.96 ,163753.72 ,167196.46 ,172519.15 ,183638.99 ,189776.01 ,192825.61 ,194799.74 ,188462.28 ,181692.20 ,177998.85 ,165873.37 ,153826.83 ,150127.18 ,151233.71 ,156171.56 ,161365.74 ,162197.85 ,163787.64 ,165432.55 ,158972.82 ,160385.23 ,159589.53 ,160102.50 ,164458.75 ,165425.29 ,166321.00 ,166068.90 ,162758.66 ,167147.05 ,171430.23 ,175114.78 ,185599.71 ,196538.38 ,204342.18 ,214058.00 ,222444.05 ,229594.53 ,240345.68 ,247075.00 ,262319.38 ,273988.58 ,282689.65 ,294147.99 ,292248.77 ,293958.90 ,291721.43 
E02000020,Barking and Dagenham 019,45827.11 ,43965.67 ,44258.08 ,44935.07 ,46403.78 ,47795.30 ,48591.25 ,51611.77 ,53587.44 ,54003.92 ,55700.50 ,55369.39 ,58214.25 ,60898.06 ,61239.42 ,65228.74 ,66326.73 ,67373.02 ,69561.55 ,73207.79 ,75518.38 ,79812.45 ,82284.26 ,86233.91 ,94706.96 ,101261.10 ,111524.99 ,118410.11 ,129463.98 ,134442.34 ,139574.27 ,148214.72 ,152742.28 ,154543.65 ,161485.23 ,164511.63 ,167400.54 ,171023.20 ,171493.43 ,173385.85 ,173560.90 ,172072.00 ,172679.94 ,173444.20 ,178567.81 ,184681.73 ,187210.38 ,194819.28 ,200163.24 ,203911.97 ,208143.16 ,207117.67 ,203857.26 ,194212.78 ,187621.28 ,184750.00 ,177723.80 ,177921.58 ,177920.25 ,177383.79 ,180750.00 ,178982.46 ,176660.71 ,173768.52 ,168003.37 ,183358.36 ,186280.51 ,186945.38 ,195836.28 ,199607.64 ,205692.46 ,200440.43 ,200524.36 ,197468.68 ,195749.50 ,218819.24 ,209804.33 ,204843.29 ,206661.35 ,209430.73 ,233650.45 ,246148.73 ,251165.37 ,255561.29 ,257106.68 ,283388.00 ,289955.32 ,291688.12 ,296001.75 
E02000021,Barking and Dagenham 020,43241.26 ,44525.12 ,41549.73 ,40477.97 ,41034.24 ,41118.27 ,42629.56 ,45046.20 ,46910.24 ,47905.44 ,48777.52 ,50048.73 ,51666.19 ,52134.25 ,54029.31 ,56078.14 ,59079.58 ,60952.45 ,62805.25 ,66667.86 ,69703.42 ,72065.56 ,74006.49 ,75367.16 ,77899.18 ,82067.77 ,86977.89 ,96340.34 ,103897.41 ,111817.45 ,120334.19 ,124636.40 ,131482.80 ,133935.69 ,137232.62 ,144550.48 ,147607.86 ,151914.43 ,155244.21 ,152746.94 ,152197.88 ,153111.44 ,155526.43 ,158855.71 ,161073.32 ,162698.19 ,165822.08 ,170240.42 ,175512.48 ,181235.19 ,186638.83 ,187458.04 ,183806.00 ,175282.92 ,157729.73 ,148985.71 ,150871.69 ,148717.90 ,150276.99 ,155675.50 ,156614.92 ,159914.36 ,157464.74 ,156393.36 ,155019.61 ,157291.67 ,156872.22 ,157843.75 ,153896.74 ,155483.33 ,158957.29 ,159157.00 ,168371.88 ,172858.60 ,179391.07 ,190339.66 ,194941.28 ,201353.13 ,207364.89 ,220579.90 ,225142.50 ,239563.79 ,243179.45 ,247325.11 ,266417.66 ,271463.29 ,276743.75 ,280051.72 ,280707.32 
